,Branch,Rolls
0,cse,0
1,ece,0
2,it,0
3,cse,0
4,ece,0
5,it,0
6,cse,0
7,ece,0
8,it,0
9,cse,0
10,ece,0
11,it,0
12,cse,0
13,ece,0
14,it,0
15,cse,0
16,ece,0
17,it,0
18,cse,0
19,ece,0
20,it,0
21,cse,0
22,ece,0
23,it,0
24,cse,0
25,ece,0
26,it,0
27,cse,0
28,ece,0
29,it,0
30,cse,0
31,ece,0
32,mech,0
33,cse,0
34,ece,0
35,mech,0
36,cse,0
37,ece,0
38,mech,0
39,cse,0
40,ece,0
41,mech,0
42,cse,0
43,ece,0
44,mech,0
45,cse,0
46,ece,0
47,mech,0
48,cse,0
49,ece,0
50,mech,0
51,cse,0
52,ece,0
53,mech,0
54,cse,0
55,ece,0
56,mech,0
57,cse,0
58,ece,0
59,mech,0
60,cse,0
61,ece,0
62,mech,0
63,cse,0
64,ece,0
65,mech,0
66,cse,0
67,ece,0
68,mech,0
69,cse,0
70,ece,0
71,mech,0
72,cse,0
73,ece,0
74,mech,0
75,cse,0
76,ece,0
77,mech,0
78,cse,0
79,ece,0
80,mech,0
81,cse,0
82,ece,0
83,mech,0
84,cse,0
85,ece,0
86,cseds,0
87,cse,0
88,ece,0
89,cseds,0
90,cse,0
91,ece,0
92,cseds,0
93,cse,0
94,ece,0
95,cseds,0
96,cse,0
97,ece,0
98,cseds,0
99,cse,0
100,ece,0
101,aie,0
102,cse,0
103,aie,0
104,aie,0
105,cse,0
106,aie,0
107,aie,0
108,cse,0
109,aie,0
110,aie,0
111,cse,0
112,aie,0
113,aie,0
114,cse,0
115,aie,0
116,aie,0
117,cse,0
118,aie,0
119,aie,0
120,cse,0
121,aie,0
122,aie,0
123,cse,0
124,aie,0
125,aie,0
126,cse,0
127,aie,0
128,aie,0
129,cse,0
130,aie,0
131,aie,0
132,cse,0
133,aie,0
134,aie,0
135,cse,0
136,aie,0
137,aie,0
138,cse,0
139,aie,0
140,aie,0
141,cse,0
142,aie,0
143,aie,0
144,cse,0
145,aie,0
146,aie,0
147,cse,0
148,aie,0
149,aie,0
150,cse,0
151,aie,0
152,aie,0
153,cse,0
154,aie,0
155,aie,0
156,cse,0
157,aie,0
158,aie,0
159,cse,0
160,aie,0
161,aie,0
162,cse,0
163,aie,0
164,aie,0
165,cse,0
166,aie,0
167,aie,0
168,cse,0
169,it,0
170,cseds,0
171,cse,0
172,it,0
173,cseds,0
174,cse,0
175,it,0
176,cseds,0
177,cse,0
178,it,0
179,cseds,0
180,cse,0
181,it,0
182,cseds,0
183,cse,0
184,it,0
185,cseds,0
186,cse,0
187,it,0
188,cseds,0
189,cse,0
190,it,0
191,cseds,0
192,cse,0
193,ece,0
194,it,0
195,cseds,0
196,ece,0
197,it,0
198,eee,0
199,ece,0
200,it,0
201,eee,0
202,ece,0
203,it,0
204,eee,0
205,ece,0
206,it,0
207,eee,0
208,ece,0
209,it,0
210,eee,0
211,ece,0
212,it,0
213,eee,0
214,ece,0
215,it,0
216,eee,0
217,ece,0
218,it,0
219,eee,0
220,ece,0
221,it,0
222,eee,0
223,ece,0
224,it,0
225,civ,0
226,ece,0
227,it,0
228,civ,0
229,ece,0
230,it,0
231,civ,0
232,ece,0
233,it,0
234,civ,0
235,ece,0
236,it,0
237,,0
